acronym,full_name,description
ACS,Access Control Systems,"Uses digital credentials, controllers, and electronic locks to regulate access to physical spaces instead of traditional metal keys."
ALE,Annualized Loss Expectancy,ALE = SLE * ARO
ARO,Annualized Rate of Occurrance,An estimate of how often a threat would be successful in exploiting a vulnerability.
AV,Asset Value,"Represents the total value of an asset, calculated based on the potential financial impact of a security incident—crucial for risk management and security assessments."
BCP,Business Continuity Plan,The capability of an organization to continue the delivery of products or services following a disruptive incident.
CDI,Constrained Data Item,A protected piece of data in the Clark-Wilson integrity model whose accuracy and completeness must be strictly maintained.
EF,Exposure Factor,The subjective potential percentage of loss to a specific asset if a specific threat is realized.
ERP,Enterprise Resource Planning,"Business management software used by an organization to collect, store, manage, and interpret data from many business activities."
ERP,Enterprise Resource Planning,"Business management software used by an organization to collect, store, manage, and interpret data from many business activities."
GRC,"Governance, Risk, and Compliance",A holistic approach organizations use to meet regulatory requirements while operating effectively.
RPA,Robotic Process Automation,Employing of software "bots" to emulate human actions within digital environments.

